13:05:46 11/03/2018Conexion rechazada identificador duplicado
13:06:09 11/03/2018: Conexion rechazada identificador duplicado
17:27:20 11/03/2018 Servidor: Conexion aceptada
17:30:54 11/03/2018 Servidor: Conexion aceptada
17:33:41 11/03/2018 Servidor: Conexion aceptada
17:35:14 11/03/2018 Servidor: Conexion aceptada
17:36:30 11/03/2018 Servidor: Conexion aceptada
17:48:36 11/03/2018 Servidor: Conexion aceptada
17:58:38 11/03/2018 Servidor: Conexion aceptada
19:10:40 11/03/2018 Servidor: Conexion aceptada
19:12:30 11/03/2018 Servidor: Conexion aceptada
19:15:34 11/03/2018 Servidor: Conexion aceptada
19:17:43 11/03/2018 Servidor: Conexion aceptada
19:19:15 11/03/2018 Servidor: Conexion aceptada
19:20:18 11/03/2018 Servidor: Conexion aceptada
19:23:51 11/03/2018 Servidor: Conexion aceptada
19:29:28 11/03/2018 Servidor: Conexion aceptada
19:30:36 11/03/2018 Servidor: Conexion aceptada
19:35:20 11/03/2018 Servidor: Conexion aceptada
19:44:11 11/03/2018 Servidor: Conexion aceptada
19:46:36 11/03/2018 Servidor: Conexion aceptada
19:52:26 11/03/2018 Servidor: Conexion aceptada
19:58:21 11/03/2018 Servidor: Conexion aceptada
20:48:25 11/03/2018 Servidor: Conexion aceptada
20:50:32 11/03/2018 Servidor: Conexion aceptada
20:58:28 11/03/2018 Servidor: Conexion aceptada
21:01:14 11/03/2018 Servidor: Conexion aceptada
21:03:11 11/03/2018 Servidor: Conexion aceptada
21:06:35 11/03/2018 Servidor: Conexion aceptada
21:12:01 11/03/2018 Servidor: Conexion aceptada
21:18:14 11/03/2018 Servidor: Conexion aceptada
21:20:03 11/03/2018 Servidor: Conexion aceptada
21:24:35 11/03/2018 Servidor: Conexion aceptada
21:27:34 11/03/2018 Servidor: Conexion aceptada
21:28:51 11/03/2018 Servidor: Conexion aceptada
21:30:02 11/03/2018 Servidor: Conexion aceptada
21:35:38 11/03/2018 Servidor: Conexion aceptada
21:40:14 11/03/2018 Servidor: Conexion aceptada
21:41:26 11/03/2018 Servidor: Conexion aceptada
21:42:34 11/03/2018 Servidor: Conexion aceptada
22:09:46 11/03/2018 Servidor: Conexion aceptada
22:11:07 11/03/2018 Servidor: Conexion aceptada
22:13:01 11/03/2018 Servidor: Conexion aceptada
22:15:57 11/03/2018 Servidor: Conexion aceptada
22:23:32 11/03/2018 Servidor: Conexion aceptada
22:26:48 11/03/2018 Servidor: Conexion aceptada
22:34:40 11/03/2018 Servidor: Conexion aceptada
22:43:39 11/03/2018 Servidor: Conexion aceptada
22:42:47 13/03/2018 Servidor: Conexion aceptada
22:46:27 13/03/2018 Servidor: Conexion aceptada
23:04:04 13/03/2018 Servidor: Conexion aceptada
23:14:03 13/03/2018 Servidor: Conexion aceptada
23:16:52 13/03/2018 Servidor: Conexion aceptada
23:24:45 13/03/2018 Servidor: Conexion aceptada
23:49:40 13/03/2018 Servidor: Conexion aceptada
23:56:00 13/03/2018 Servidor: Conexion aceptada
23:59:25 13/03/2018 Servidor: Conexion aceptada
00:10:58 14/03/2018 Servidor: Conexion aceptada
00:12:34 14/03/2018 Servidor: Conexion aceptada
00:16:11 14/03/2018 Servidor: Conexion aceptada
00:29:35 14/03/2018 Servidor: Conexion aceptada
00:37:24 14/03/2018 Servidor: Conexion aceptada
00:39:35 14/03/2018 Servidor: Conexion aceptada
00:41:09 14/03/2018 Servidor: Conexion aceptada
00:43:33 14/03/2018 Servidor: Conexion aceptada
00:44:52 14/03/2018 Servidor: Conexion aceptada
00:53:16 14/03/2018 Servidor: Conexion aceptada
00:56:00 14/03/2018 Servidor: Conexion aceptada
01:03:17 14/03/2018 Servidor: Conexion aceptada
01:07:52 14/03/2018 Servidor: Conexion aceptada
01:09:54 14/03/2018 Servidor: Conexion aceptada
01:12:17 14/03/2018 Servidor: Conexion aceptada
01:14:22 14/03/2018 Servidor: Conexion aceptada
01:18:53 14/03/2018 Servidor: Conexion aceptada
01:20:24 14/03/2018 Servidor: Conexion aceptada
01:22:35 14/03/2018 Servidor: Conexion aceptada
01:25:58 14/03/2018 Servidor: Conexion aceptada
01:28:16 14/03/2018 Servidor: Conexion aceptada
01:33:30 14/03/2018 Servidor: Conexion aceptada
01:36:14 14/03/2018 Servidor: Conexion aceptada
01:53:19 14/03/2018 Servidor: Conexion aceptada
01:55:16 14/03/2018 Servidor: Conexion aceptada
01:57:23 14/03/2018 Servidor: Conexion aceptada
02:04:06 14/03/2018 Servidor: Conexion aceptada
02:11:57 14/03/2018 Servidor: Conexion aceptada
02:13:59 14/03/2018 Servidor: Conexion aceptada
02:18:09 14/03/2018 Servidor: Conexion aceptada
02:22:24 14/03/2018 Servidor: Conexion aceptada
02:33:43 14/03/2018 Servidor: Conexion aceptada
02:36:43 14/03/2018 Servidor: Conexion aceptada
02:40:36 14/03/2018 Servidor: Conexion aceptada
02:42:20 14/03/2018 Servidor: Conexion aceptada
